dataset,model,regime,seed,test_accuracy,test_accuracy_dedup,test_accuracy_nbr_covered,val_accuracy,epochs_run,split_index
Cora,MLP,density_control,2,0.5659999847412109,0.5659999847412109,0.5659999847412109,0.621999979019165,130,2
Cora,MLP,inductive,2,0.5659999847412109,0.5659999847412109,0.5659999847412109,0.621999979019165,130,2
Cora,LabelProp,transductive,2,0.593999981880188,0.593999981880188,0.593999981880188,0.6039999723434448,0,2
Cora,LabelProp,density_control,2,0.593999981880188,0.593999981880188,0.593999981880188,0.6039999723434448,0,2
Cora,LabelProp,inductive,2,0.593999981880188,0.593999981880188,0.593999981880188,0.6039999723434448,0,2
Cora,GCN,transductive,3,0.8040000200271606,0.8040000200271606,0.8040000200271606,0.8240000009536743,193,3
Cora,GCN,density_control,3,0.7919999957084656,0.7919999957084656,0.7919999957084656,0.7919999957084656,198,3
Cora,GCN,inductive,3,0.7919999957084656,0.7919999957084656,0.7919999957084656,0.7979999780654907,230,3
Cora,GraphSAGE,transductive,3,0.7900000214576721,0.7900000214576721,0.7900000214576721,0.8180000185966492,221,3
Cora,GraphSAGE,density_control,3,0.7620000243186951,0.7620000243186951,0.7620000243186951,0.8059999942779541,267,3
Cora,GraphSAGE,inductive,3,0.7799999713897705,0.7799999713897705,0.7799999713897705,0.7900000214576721,217,3
Cora,MLP,transductive,3,0.5440000295639038,0.5440000295639038,0.5440000295639038,0.578000009059906,119,3
Cora,MLP,density_control,3,0.5440000295639038,0.5440000295639038,0.5440000295639038,0.578000009059906,119,3
Cora,MLP,inductive,3,0.5440000295639038,0.5440000295639038,0.5440000295639038,0.578000009059906,119,3
Cora,LabelProp,transductive,3,0.6060000061988831,0.6060000061988831,0.6060000061988831,0.6380000114440918,0,3
Cora,LabelProp,density_control,3,0.6060000061988831,0.6060000061988831,0.6060000061988831,0.6380000114440918,0,3
Cora,LabelProp,inductive,3,0.6060000061988831,0.6060000061988831,0.6060000061988831,0.6380000114440918,0,3
Cora,GCN,transductive,4,0.7979999780654907,0.7979999780654907,0.7979999780654907,0.8100000023841858,262,4
Cora,GCN,density_control,4,0.7599999904632568,0.7599999904632568,0.7599999904632568,0.7919999957084656,239,4
Cora,GCN,inductive,4,0.8100000023841858,0.8100000023841858,0.8100000023841858,0.7960000038146973,115,4
Cora,GraphSAGE,transductive,4,0.8040000200271606,0.8040000200271606,0.8040000200271606,0.8080000281333923,108,4
Cora,GraphSAGE,density_control,4,0.7960000038146973,0.7960000038146973,0.7960000038146973,0.7940000295639038,110,4
Cora,GraphSAGE,inductive,4,0.7860000133514404,0.7860000133514404,0.7860000133514404,0.7720000147819519,108,4
Cora,MLP,transductive,4,0.5820000171661377,0.5820000171661377,0.5820000171661377,0.6100000143051147,111,4
Cora,MLP,density_control,4,0.5820000171661377,0.5820000171661377,0.5820000171661377,0.6100000143051147,111,4
Cora,MLP,inductive,4,0.5820000171661377,0.5820000171661377,0.5820000171661377,0.6100000143051147,111,4
Cora,LabelProp,transductive,4,0.6179999709129333,0.6179999709129333,0.6179999709129333,0.5699999928474426,0,4
Cora,LabelProp,density_control,4,0.6179999709129333,0.6179999709129333,0.6179999709129333,0.5699999928474426,0,4
Cora,LabelProp,inductive,4,0.6179999709129333,0.6179999709129333,0.6179999709129333,0.5699999928474426,0,4
Cora,GCN,transductive,5,0.7919999957084656,0.7919999957084656,0.7919999957084656,0.7960000038146973,189,5
Cora,GCN,density_control,5,0.7979999780654907,0.7979999780654907,0.7979999780654907,0.7620000243186951,206,5
Cora,GCN,inductive,5,0.7960000038146973,0.7960000038146973,0.7960000038146973,0.7879999876022339,287,5
Cora,GraphSAGE,transductive,5,0.7979999780654907,0.7979999780654907,0.7979999780654907,0.7820000052452087,106,5
Cora,GraphSAGE,density_control,5,0.7680000066757202,0.7680000066757202,0.7680000066757202,0.7440000176429749,150,5
Cora,GraphSAGE,inductive,5,0.7879999876022339,0.7879999876022339,0.7879999876022339,0.7760000228881836,257,5
Cora,MLP,transductive,5,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.578000009059906,145,5
Cora,MLP,density_control,5,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.578000009059906,145,5
Cora,MLP,inductive,5,0.5899999737739563,0.5899999737739563,0.5899999737739563,0.578000009059906,145,5
